Reportin+A5+A1:J1+A1:L2,Project Status,Donor,Programme Organization,Programme Organization Type,Implementing agency Name ,Implementing agency Acronym,Implementing agencyType,Region,Zone,Woreda,Kebele/IDP site name,HNO Woreda Pcode,Response Plan,Sector,ClusterActivities
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba High school,ET010212,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Edaga,ET010213,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Edaga,ET010213,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Araya-Kahsu,ET010213,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Ezana,ET010213,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Hawelti Kebele,ET010213,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,High School,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Kisanet Primary school,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,World Vision KG,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Preparatory School,ET010309,Emergency,Protection,CP_MHPSS
February,completed,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,SNNP,Konso,Segen Zuria,Ayilota dokatu,ET071302,Emergency,Protection,CP_Capacity_Building
February,completed,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,SNNP,Konso,Karat Zuria,Fuchucha,ET071303,Emergency,Protection,CP_Capacity_Building
February,completed,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,SNNP,Konso,Karat Zuria,Gelabo,ET071303,Emergency,Protection,CP_Capacity_Building
February,completed,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,SNNP,Konso,Segen Zuria,Lulutu,ET071302,Emergency,Protection,CP_Capacity_Building
February,completed,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,SNNP,Konso,Karat Zuria,Baiyde,ET071303,Emergency,Protection,CP_Capacity_Building
February,completed,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,SNNP,Konso,Kena,Kamale,ET071304,Emergency,Protection,CP_Capacity_Building
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele 01,ET010308,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-01,ET010308,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-02,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Preparatory School,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,High School,ET010309,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,High School,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Agazi,ET010308,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,World Vision KG,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Kisanet Primary school,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Edaga,ET010213,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Kindeya Kebele,ET010213,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Kindeya Kebele,ET010213,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Finotebrhan,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Enqot KG,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Meda-agame,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-05,ET010308,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-03,ET010308,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,completed,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,SNNP,Konso,Karat town,Borikara,ET071301,Emergency,Protection,CP_Capacity_Building
February,completed,CIDA,UNICEF,UN Agency,Imagine1day,I1D,International NGO,SNNP,Konso,Karat town,matarna gizba,ET071301,Emergency,Protection,CP_Capacity_Building
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-04,ET010308,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Enqot KG,ET010309,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-03,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Agazi,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-06,ET010308,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Agazi,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Preparatory School,ET010309,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-02,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-01,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-03,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Miebala Kebele,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba preparatory,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Kindeya Kebele,ET010213,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Meda-agame,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Hawelti Kebele,ET010213,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba High school,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Ezana,ET010213,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-05,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Kisanet Primary school,ET010309,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Commision,ET010308,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Edaga,ET010213,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Edaga,ET010213,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Finotebrhan,ET010308,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Finotebrhan,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Meda-agame,ET010308,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Adwa elementary,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Ezana,ET010213,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Commision,ET010308,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Wukro High school,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Commision,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Agazi Kebele,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Kisanet,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba preparatory,ET010212,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Agazi,ET010308,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-06,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Dedebit Kebele,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Soloda,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-04,ET010308,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Wolwalo,ET010308,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-04,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Wolwalo,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,High School,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-04,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba High school,ET010212,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Hawelti Kebele,ET010213,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,World vision,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Wukro preparatory,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Ngstesaba preparatory,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Axum town,Ezana,ET010213,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Enqot,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Wukro town,Preparatory School,ET010309,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Central,Adwa town,Abnet Kebele,ET010212,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Finotebrhan,ET010308,Emergency,Protection,CP_Case_Management_UASC
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Commision,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-01,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-05,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,UNOCHA,I1D,International NGO,Imagine1day,I1D,International NGO,Tigray,Eastern,Adigrat town,Kebele-06,ET010308,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PI USNO,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Fresiwuat  secondary  school  ,ET010108,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Adiwonfito,ET010108,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Fresiwuat  secondary  school  ,ET010108,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,ARRA- Area,ET010108,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,BGI,ET010108,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,ARRA- Area,ET010108,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,USAID,International NGO,Plan International,PLAN,International NGO,Tigray,South Eastern,Enderta,Mahbere genet,ET010602,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Adiwonfito,ET010108,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,BHA-USAID,USAID,International NGO,Plan International,PLAN,International NGO,Tigray,South Eastern,Enderta,Kedamay Weyane,ET010602,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,BHA-USAID,USAID,International NGO,Plan International,PLAN,International NGO,Tigray,South Eastern,Enderta,Kedamay Weyane,ET010602,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Axum town,Kedamawi Minilik,ET010213,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,BHA-USAID,USAID,International NGO,Plan International,PLAN,International NGO,Tigray,South Eastern,Enderta,Mahbere genet,ET010602,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Axum town,Kedamawi Milinik,ET010213,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Axum town,Kedamawi Milinik,ET010213,Emergency,Protection,CP_Case_Management_UASC
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Axum town,Kedamawi Milinik,ET010213,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Axum town,Kedamawi Minilik,ET010213,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PI USNO,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Adwa,D/r Tsegay Berhe secondary school,ET010204,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PI USNO,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Adwa,Ngiste Saba Secondary school,ET010204,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PI USNO,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Adwa,D/r Tsegay Berhe secondary school,ET010204,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Fresiwuat  secondary  school  ,ET010108,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,BGI,ET010108,Emergency,Protection,CP_Case_Management_UASC
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,BGI,ET010108,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PI USNO,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Adwa,D/r Tsegay Berhe secondary school,ET010204,Emergency,Protection,CP_Case_Management_UASC
February,On-going,BHA-USAID,PI USNO,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Adwa,Ngiste Saba Secondary school,ET010204,Emergency,Protection,CP_Case_Management_UASC
February,On-going,BHA-USAID,PI USNO,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Adwa,D/r Tsegay Berhe secondary school,ET010204,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Axum town,Kedamawi Minilik,ET010213,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Axum town,Kindeya ,ET010213,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,ARRA- Area,ET010108,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Axum town,Kedamawi Milinik,ET010213,Emergency,Protection,CP_Awareness_raising_and_Information_dissemination
February,On-going,BHA-USAID,USAID,International NGO,Plan International,PLAN,International NGO,Tigray,South Eastern,Enderta,Kedamay Weyane,ET010602,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,BHA-USAID,USAID,International NGO,Plan International,PLAN,International NGO,Tigray,South Eastern,Enderta,Mahbere genet,ET010602,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,BHA-USAID,PI USNO,International NGO,Plan International,PLAN,International NGO,Tigray,Central,Adwa,D/r Tsegay Berhe secondary school,ET010204,Emergency,Protection,CP_Case_Management_UASC
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Fresiwuat  secondary  school  ,ET010108,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,BGI,ET010108,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Adiwonfito,ET010108,Emergency,Protection,CP_Capacity_Building
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Fresiwuat  secondary  school  ,ET010108,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,USAID,International NGO,Plan International,PLAN,International NGO,Tigray,Mekelle,Mekelle,Hadinet Secondary School,ET0107,Emergency,Protection,CP_Case_Management_not_FTR
February,On-going,BHA-USAID,USAID,International NGO,Plan International,PLAN,International NGO,Tigray,Mekelle,Mekelle,Hadinet Secondary School,ET0107,Emergency,Protection,CP_MHPSS
February,On-going,BHA-USAID,PLAN,International NGO,Plan International,PLAN,International NGO,Tigray,North Western,Indasilassie town,Adiwonfito,ET010108,Emergency,Protection,CP_Case_Management_UASC
February,On-going,BHA,BHA,International NGO,World Vision International ,WVI,International NGO,Tigray,Mekelle,Mekelle,Adihaqi IDPs,ET0107,Emergency,Protection,CP_MHPSS
February,On-going,BHA,BHA,International NGO,World Vision International ,WVI,International NGO,Tigray,Eastern,Wukro town,wukro IDP,ET010309,Emergency,Protection,CP_MHPSS
